stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code,nearest_node
"Neukeferloh, Fritz-Bonnet-Str.",314211,413790,48.093987,11.766529,,,307480216
"Neukeferloh, Grünlandstraße",539583,128338,48.095085,11.763744,,,307480216
"Neukeferloh, Grünlandstraße",539583,459902,48.09506,11.764553,,,307480216
"Neukeferloh, Grünlandstraße",539583,609109,48.094593,11.763537,,,307480216
"Neukeferloh, Grünlandstraße",539583,631375,48.095024,11.764283,,,307480216
"Neukeferloh, L.-Stadler-Straße",142771,199379,48.09386,11.757968,,,307480216
"Neukeferloh, Luisenweg",444927,118498,48.0986,11.75804,,,307480216
"Neukeferloh, Luisenweg",444927,266116,48.098637,11.757941,,,307480216
"Neukeferloh, Ostring",153789,240983,48.0965,11.767715,,,307480216
"Neukeferloh, Ostring",153789,377946,48.09621,11.768595,,,307480216
"Neukeferloh, Ostring",153789,459722,48.09662,11.767625,,,307480216
"Neukeferloh, Rathaus",642561,183953,48.09597,11.760726,,,307480216
"Neukeferloh, Rathaus",642561,345968,48.096195,11.760393,,,307480216
