osmid,y,x,street_count,highway,ref,railway,geometry,gtfs_stop_count,degree_centrality
11066821258,5338190.593404236,694606.6045233462,1,,,,POINT (694606.6045233462 5338190.593404236),0,7.125044531528322e-05
249930681,5338475.566694322,695048.0539395985,1,,,,POINT (695048.0539395985 5338475.566694322),0,7.125044531528322e-05
250151131,5338439.596139604,696771.6903766564,3,,,,POINT (696771.6903766564 5338439.596139604),1,0.00021375133594584968
1879425387,5338365.8440009765,696777.0738991799,3,,,,POINT (696777.0738991799 5338365.8440009765),1,0.00021375133594584968
251629399,5334408.51166252,691923.7400990708,4,,,,POINT (691923.7400990708 5334408.51166252),0,0.0002850017812611329
254082062,5334472.412021096,691920.8438962754,3,,,,POINT (691920.8438962754 5334472.412021096),0,0.00021375133594584968
252022778,5342461.427277003,691943.9574700235,3,,,,POINT (691943.9574700235 5342461.427277003),0,0.00021375133594584968
252022779,5342529.299411552,691949.9592722094,1,,,,POINT (691949.9592722094 5342529.299411552),0,7.125044531528322e-05
252022783,5342468.823734218,691871.7675291353,3,,,,POINT (691871.7675291353 5342468.823734218),0,0.00021375133594584968
252022785,5342537.198894438,691878.5044060935,1,,,,POINT (691878.5044060935 5342537.198894438),0,7.125044531528322e-05
252022788,5342475.273804002,691801.8482975293,3,,,,POINT (691801.8482975293 5342475.273804002),0,0.00021375133594584968
252022790,5342547.05728064,691808.3672853024,1,,,,POINT (691808.3672853024 5342547.05728064),0,7.125044531528322e-05
252276109,5336038.800086904,693360.3428456713,3,,,,POINT (693360.3428456713 5336038.800086904),0,0.00021375133594584968
1570967041,5336115.032285358,693454.5741948865,3,,,,POINT (693454.5741948865 5336115.032285358),1,0.00021375133594584968
252276115,5335933.12861415,693299.0026869997,1,turning_circle,,,POINT (693299.0026869997 5335933.12861415),0,7.125044531528322e-05
253089486,5341247.026752176,691325.6121010415,1,,,,POINT (691325.6121010415 5341247.026752176),0,7.125044531528322e-05
255650202,5342036.761926738,690817.4244703283,3,,,,POINT (690817.4244703283 5342036.761926738),0,0.00021375133594584968
253091803,5342179.759924907,690979.8540238752,3,,,,POINT (690979.8540238752 5342179.759924907),2,0.00021375133594584968
253091853,5341940.867202596,690979.4519979795,3,,,,POINT (690979.4519979795 5341940.867202596),0,0.00021375133594584968
254093507,5331787.964081907,690989.0785297288,3,,,,POINT (690989.0785297288 5331787.964081907),0,0.00021375133594584968
254093509,5331629.627217813,691016.662385388,4,,,,POINT (691016.662385388 5331629.627217813),0,0.0002850017812611329
629497482,5338388.907551407,688217.9088340163,3,,,,POINT (688217.9088340163 5338388.907551407),0,0.00021375133594584968
260734466,5344286.058358995,687374.4561608105,3,,,,POINT (687374.4561608105 5344286.058358995),0,0.00021375133594584968
260734432,5344392.286896317,687432.9970711705,4,,,,POINT (687432.9970711705 5344392.286896317),0,0.0002850017812611329
282045836,5345028.1483603995,687481.9916719486,1,,,,POINT (687481.9916719486 5345028.1483603995),0,7.125044531528322e-05
2657361202,5344667.797378949,687818.4745400163,1,,,,POINT (687818.4745400163 5344667.797378949),0,7.125044531528322e-05
254092571,5330804.346169066,690389.1605935845,1,turning_circle,,,POINT (690389.1605935845 5330804.346169066),0,7.125044531528322e-05
254092575,5330699.496467567,690554.4307246417,3,,,,POINT (690554.4307246417 5330699.496467567),1,0.00021375133594584968
254092661,5330769.6662966795,690601.5346608021,3,,,,POINT (690601.5346608021 5330769.6662966795),0,0.00021375133594584968
254092659,5330825.774685421,690498.5624926852,1,turning_circle,,,POINT (690498.5624926852 5330825.774685421),0,7.125044531528322e-05
254092908,5331003.949360734,690693.9146703058,3,,,,POINT (690693.9146703058 5331003.949360734),2,0.00021375133594584968
254092906,5331124.651557634,690515.0071068639,1,,,,POINT (690515.0071068639 5331124.651557634),0,7.125044531528322e-05
254092907,5331065.738800641,690604.9075914177,3,,,,POINT (690604.9075914177 5331065.738800641),0,0.00021375133594584968
254093042,5331193.500346471,690673.1607332444,3,,,,POINT (690673.1607332444 5331193.500346471),0,0.00021375133594584968
254093071,5331136.274171597,690754.1679462612,3,,,,POINT (690754.1679462612 5331136.274171597),0,0.00021375133594584968
254093069,5331256.591584004,690622.9217847562,1,,,,POINT (690622.9217847562 5331256.591584004),0,7.125044531528322e-05
254093419,5331350.988665126,690868.5357881553,3,,,,POINT (690868.5357881553 5331350.988665126),0,0.00021375133594584968
254093418,5331388.950214793,690804.4387838169,1,,,,POINT (690804.4387838169 5331388.950214793),0,7.125044531528322e-05
1693378420,5331392.096696817,690891.1594555598,3,,,,POINT (690891.1594555598 5331392.096696817),0,0.00021375133594584968
1870246157,5331909.014737289,690931.3787533969,1,turning_circle,,,POINT (690931.3787533969 5331909.014737289),0,7.125044531528322e-05
1529681093,5331634.328981262,691008.1899071321,2,crossing,,,POINT (691008.1899071321 5331634.328981262),0,0.00014250089063056644
293351195,5331625.88434301,691023.195358318,3,,,,POINT (691023.195358318 5331625.88434301),0,0.00021375133594584968
293351240,5331600.583168717,691001.1640286866,3,,,,POINT (691001.1640286866 5331600.583168717),0,0.00021375133594584968
277153889,5331391.98248091,691133.8610897226,1,,,,POINT (691133.8610897226 5331391.98248091),0,7.125044531528322e-05
2411461715,5331074.397903451,686279.0025398885,2,,,,POINT (686279.0025398885 5331074.397903451),0,0.00014250089063056644
254656254,5330835.426757528,686340.6375992902,2,,,,POINT (686340.6375992902 5330835.426757528),0,0.00014250089063056644
255033483,5331175.000002213,686267.2204196459,3,,,,POINT (686267.2204196459 5331175.000002213),0,0.00021375133594584968
3040778485,5331265.669457112,686266.4540823937,3,,,,POINT (686266.4540823937 5331265.669457112),1,0.00021375133594584968
254912331,5338755.335072666,690577.5763182124,3,,,,POINT (690577.5763182124 5338755.335072666),0,0.00021375133594584968
3423592002,5338369.63700657,690667.2203761823,3,,,,POINT (690667.2203761823 5338369.63700657),0,0.00021375133594584968
309254717,5340869.773685948,689783.1469258192,1,,,,POINT (689783.1469258192 5340869.773685948),0,7.125044531528322e-05
309254725,5340830.385108882,689746.5910005342,1,,,,POINT (689746.5910005342 5340830.385108882),0,7.125044531528322e-05
1348863871,5342680.233142521,691517.7289875676,1,turning_circle,,,POINT (691517.7289875676 5342680.233142521),0,7.125044531528322e-05
255650214,5342711.849491938,691469.1976510235,1,turning_circle,,,POINT (691469.1976510235 5342711.849491938),0,7.125044531528322e-05
255854807,5341432.032827141,691251.5633832084,3,,,,POINT (691251.5633832084 5341432.032827141),0,0.00021375133594584968
1637882539,5341433.454281245,691219.6042693658,3,,,,POINT (691219.6042693658 5341433.454281245),0,0.00021375133594584968
255857441,5341727.113471142,691471.3003468635,1,,,,POINT (691471.3003468635 5341727.113471142),0,7.125044531528322e-05
1599035255,5341298.006235464,691910.8764111891,3,,,,POINT (691910.8764111891 5341298.006235464),1,0.00021375133594584968
255857450,5341029.274840228,691994.9656540828,3,,,,POINT (691994.9656540828 5341029.274840228),0,0.00021375133594584968
1184634571,5340953.56431408,691937.841606431,3,,,,POINT (691937.841606431 5340953.56431408),0,0.00021375133594584968
1091658868,5341680.453887529,692050.5701668877,3,,,,POINT (692050.5701668877 5341680.453887529),0,0.00021375133594584968
255864618,5339242.4143849,682828.7188950437,1,,,,POINT (682828.7188950437 5339242.4143849),0,7.125044531528322e-05
255909003,5332873.339723501,697873.2624552312,3,,,,POINT (697873.2624552312 5332873.339723501),0,0.00021375133594584968
255909007,5332761.240376744,697927.0948444884,1,,,,POINT (697927.0948444884 5332761.240376744),0,7.125044531528322e-05
255939929,5341292.104359237,692015.2707730187,3,,,,POINT (692015.2707730187 5341292.104359237),1,0.00021375133594584968
1185618003,5341043.156442675,692007.0858362565,3,,,,POINT (692007.0858362565 5341043.156442675),0,0.00021375133594584968
256017120,5334859.917719897,691787.3093256968,1,,,,POINT (691787.3093256968 5334859.917719897),0,7.125044531528322e-05
2273458709,5341404.082930691,683564.3675444238,1,turning_circle,,,POINT (683564.3675444238 5341404.082930691),0,7.125044531528322e-05
258159187,5343098.973442431,690741.0918704635,3,,,,POINT (690741.0918704635 5343098.973442431),0,0.00021375133594584968
1436835901,5343097.350196369,690727.150931715,3,,,,POINT (690727.150931715 5343097.350196369),0,0.00021375133594584968
1439623429,5342993.309714238,690754.7831446829,3,,,,POINT (690754.7831446829 5342993.309714238),0,0.00021375133594584968
258159190,5343064.082870095,690551.6936993541,1,,,,POINT (690551.6936993541 5343064.082870095),0,7.125044531528322e-05
258159231,5343172.441732062,690538.0724032115,4,,,,POINT (690538.0724032115 5343172.441732062),0,0.0002850017812611329
258159229,5343300.477889367,690521.9723606562,1,,,,POINT (690521.9723606562 5343300.477889367),0,7.125044531528322e-05
258159245,5343183.872029614,690626.4344734009,3,,,,POINT (690626.4344734009 5343183.872029614),0,0.00021375133594584968
